seed_ix,years_ix,predictor,group,failed_fit
1,1,lc,3,1
1,1,rh,2,1
1,1,rh,3,1
1,2,lc,3,1
1,2,rh,2,1
1,2,rh,3,1
1,3,lc,3,1
1,3,rh,1,1
1,3,rh,2,1
1,3,rh,3,1
1,4,lc,3,1
1,4,rh,2,1
1,4,rh,3,1
1,5,lc,3,1
1,5,rh,2,1
1,5,rh,3,1
1,6,lc,3,1
1,6,rh,2,1
1,6,rh,3,1
2,1,lc,3,1
2,1,rh,2,1
2,1,rh,3,1
2,2,lc,3,1
2,2,rh,2,1
2,2,rh,3,1
2,3,lc,3,1
2,3,rh,2,1
2,3,rh,3,1
2,4,lc,3,1
2,4,rh,2,1
2,4,rh,3,1
2,5,lc,3,1
2,5,rh,2,1
2,5,rh,3,1
2,6,lc,3,1
2,6,rh,2,1
2,6,rh,3,1
3,1,lc,3,1
3,1,rh,1,1
3,1,rh,2,1
3,1,rh,3,1
3,2,lc,3,1
3,2,rh,1,1
3,2,rh,2,1
3,2,rh,3,1
3,3,lc,3,1
3,3,rh,2,1
3,3,rh,3,1
3,4,lc,3,1
3,4,rh,2,1
3,4,rh,3,1
3,5,lc,3,1
3,5,rh,2,1
3,5,rh,3,1
3,6,lc,3,1
3,6,rh,1,1
3,6,rh,2,1
3,6,rh,3,1
